,Year,Month,Day,Hour,Day of week,DE/LU[€/MWh],Comsumption [MWh],Wind offshore[MWh],Wind onshore[MWh],PV[MWh],Other[MWh],Outlier
0,2018,10,1,0,0,59.53,-1.0911646015453746,-0.7218212373528358,-0.761932898363446,-1.0546367986635836,-0.006005555373245477,0
1,2018,10,1,1,0,56.1,-1.2459156743099502,-0.6987455155683951,-0.8019726200001764,-1.0546367986635836,-0.0883986891439083,0
2,2018,10,1,2,0,51.41,-1.3012256407767673,-0.6454276987745323,-0.7865344667959359,-1.0546367986635836,-0.1622949557743304,0
3,2018,10,1,3,0,47.38,-1.2620333649702276,-0.5624410968292459,-0.7105667043326003,-1.0546367986635836,-0.21621275292486639,0
4,2018,10,1,4,0,47.59,-1.0827738433103702,-0.42312680133560454,-0.616279887922295,-1.0546367986635836,-0.10375563315374846,0
5,2018,10,1,5,0,51.61,-0.6441708543046634,-0.29112220653144427,-0.5116816580629546,-1.0546367986635836,0.2709730570424767,0
6,2018,10,1,6,0,69.13,0.3166506227005127,-0.13016546389835856,-0.43814479069613743,-1.0546367986635836,0.7005823621954975,2
7,2018,10,1,7,0,77.32,0.8684226357492224,0.011155416098277705,-0.3479653051236926,0.19823337025493076,1.2910544523293361,2
8,2018,10,1,8,0,84.97,1.1407505359334171,0.1600726517133944,-0.321915221365579,0.6796680996448529,1.4989268167007777,2
9,2018,10,1,9,0,79.56,1.2484761883366229,0.30411675353552364,-0.3721146988850448,0.8866396562660855,1.671271204021241,2
10,2018,10,1,10,0,73.7,1.3479438476667704,0.4364080032686832,-0.27090760001680897,0.990512185459837,1.7356837152600062,2
11,2018,10,1,11,0,71.63,1.49008223004645,0.5320074220899371,-0.09214767174066905,1.0479832699270557,1.6008892223836662,2
12,2018,10,1,12,0,63.15,1.3335521041117944,0.587188495922295,0.08651954363186051,1.0733206684342813,1.5555405037088403,0
13,2018,10,1,13,0,60.24,1.2965637299935628,0.5664060135698485,0.2706808710021579,1.072977779329486,1.4206737994970309,0
14,2018,10,1,14,0,56.18,1.1547439840025542,0.570132527646839,0.42410167041841723,1.0577131322763482,1.3152693201567642,0
15,2018,10,1,15,0,53.0,1.0768639400048707,0.6131307669967283,0.5051105913714404,1.02051049213755,1.2635660039606254,0
16,2018,10,1,16,0,53.37,0.8775037728263475,0.6751915591250686,0.5478930780563953,0.939667910446455,1.2348018219986208,0
17,2018,10,1,17,0,60.42,0.875167105976093,0.7081568759599838,0.5675869527804692,0.7798129328392626,1.2214667953819256,0
18,2018,10,1,18,0,69.93,0.9314595346413127,0.7289393583124303,0.541961803828606,0.39956725225590856,1.196192827967612,2
19,2018,10,1,19,0,75.0,0.9763341593791529,0.7315192526734235,0.5438917494974832,-0.8199996187173565,1.4818368006396703,2
20,2018,10,1,20,0,65.83,0.7923481979540081,0.7280793935254325,0.5604762384027421,-1.0546367986635836,1.1570783545883168,0
21,2018,10,1,21,0,53.86,0.43085521500669655,0.7130300097529712,0.5667801672372673,-1.0546367986635836,0.8179979936688522,0
22,2018,10,1,22,0,46.46,-0.03857584460293473,0.5893384078897895,0.5422005123145841,-1.0546367986635836,0.49892017267443023,0
23,2018,10,1,23,0,42.5,-0.41759382892715424,0.4527473342216411,0.5050209425471341,-1.0546367986635836,0.11819794163423923,0
24,2018,10,2,0,1,45.1,-0.9104181100717188,0.2913606091950565,0.5161953104920626,-1.0546367986635836,-0.1140096427904129,0
25,2018,10,2,1,1,44.1,-1.0830393736342627,0.1659490777578793,0.49951655658194816,-1.0546367986635836,-0.2120004250224808,0
26,2018,10,2,2,1,44.06,-1.1788427144946931,0.13456036303246008,0.48615172346983004,-1.0546367986635836,-0.2573250732521501,0
27,2018,10,2,3,1,43.77,-1.1379510446152412,0.21453708822325424,0.47697849403265075,-1.0546367986635836,-0.2359745883983441,0
28,2018,10,2,4,1,44.29,-1.0173737245356362,0.35055485203340414,0.48949619418089757,-1.0546367986635836,-0.13779124260502432,0
29,2018,10,2,5,1,48.13,-0.753038287100607,0.4993287601840212,0.5165282003818407,-1.0546367986635836,0.00995314976550692,0
30,2018,10,2,6,1,57.7,-0.07359929432436149,0.6981239534450095,0.5721621467229351,-1.0546367986635836,0.5716610579373409,0
31,2018,10,2,7,1,68.21,0.4274033207960935,0.8500510658146185,0.6271187682775378,0.2906174603240348,0.9084547265669389,0
32,2018,10,2,8,1,70.36,0.7314886477178366,0.95439345997035,0.6822551065587977,0.7620396411270477,1.118421219666995,2
33,2018,10,2,9,1,54.53,0.9207852156208324,0.9627064529113286,0.7717602259087474,0.947295471831563,1.0985631024128912,0
34,2018,10,2,10,1,48.49,1.0241296176798111,0.9318910480439079,0.9448197525351745,1.0261330775617528,1.002762730690064,0
35,2018,10,2,11,1,46.19,1.1894222443029208,0.9423539529523809,1.1157268852992333,1.0564688958382802,0.9019797768198433,0
36,2018,10,2,12,1,44.15,1.1392901191520082,0.9384841114108909,1.245748887443338,1.0605885375761166,0.7337995765114527,0
37,2018,10,2,13,1,30.79,1.0267583678863472,0.9075253790789706,1.3299769183021415,1.042322780396008,0.5585185948818977,0
38,2018,10,2,14,1,27.75,0.8707327495670876,0.9060921044339743,1.3833449168251721,1.002677771244944,0.38136011853013657,0
39,2018,10,2,15,1,30.74,0.8220875942299732,0.9334676501534038,1.4131962408206784,0.937443271462783,0.22971631404425408,0
40,2018,10,2,16,1,26.77,0.6771611434494218,0.9622764705178297,1.4332832483884397,0.8363530172699978,0.11427445907373147,0
41,2018,10,2,17,1,38.68,0.6299498518613272,0.990511981024257,1.4313352892115199,0.6534698390382104,0.17259714768790502,0
42,2018,10,2,18,1,48.52,0.6842242500649636,1.0819549033750215,1.4068609314663867,0.24454036875208066,0.2335194443789794,0
43,2018,10,2,19,1,49.03,0.7850992201117416,1.099297526579477,1.3907436308763355,-0.9605906304219622,0.3533661908131395,0
44,2018,10,2,20,1,45.43,0.6260200030677175,1.1137736004939398,1.3721671491403982,-1.0546367986635836,0.13413257632783515,0
45,2018,10,2,21,1,32.04,0.25926951970733364,1.126099762440908,1.3524606496239442,-1.0546367986635836,-0.15427949753721948,0
46,2018,10,2,22,1,26.22,-0.14975339121674355,1.138139269458877,1.3177455967090217,-1.0546367986635836,-0.4016996033007728,0
47,2018,10,2,23,1,1.08,-0.5564396352905663,1.135846030026883,1.3232515501270399,-1.0546367986635836,-0.7432110791810428,1
48,2018,10,3,0,2,2.13,-1.1253649072627345,0.8896094460165167,1.4419637971916166,-1.0546367986635836,-1.604138691093195,1
49,2018,10,3,1,2,0.1,-1.3189630664127894,0.9324643579019064,1.443389352201702,-1.0546367986635836,-1.68171773583256,1
50,2018,10,3,2,2,0.05,-1.4432312579945008,0.9834889352637751,1.4424985878825207,-1.0546367986635836,-1.7949932507389985,1
51,2018,10,3,3,2,0.07,-1.4634381156427234,1.0425398506376231,1.4287528968959333,-1.0546367986635836,-1.8144421704254419,1
52,2018,10,3,4,2,-0.08,-1.4509316373873846,1.0823848857685205,1.4199512511104069,-1.0546367986635836,-1.6302310536428295,1
53,2018,10,3,5,2,-0.09,-1.4497367509298682,1.108183829378454,1.4073000302489933,-1.0546367986635836,-1.608519512111676,1
54,2018,10,3,6,2,-4.97,-1.4685097448290712,1.1189333892159266,1.4062377354963573,-1.0546367986635836,-1.5384985871514487,1
55,2018,10,3,7,2,-0.06,-1.2427027573908502,1.1185034068224275,1.379020819239627,0.15869996258409855,-1.4360788430105869,1
56,2018,10,3,8,2,0.7,-0.8419112865074421,1.1021640758694695,1.3544081110845023,0.6732473736607151,-1.2732422815269369,1
57,2018,10,3,9,2,0.91,-0.5104763362247667,1.0749318576145397,1.335696340310316,0.893904908822487,-1.1618683317878609,1
58,2018,10,3,10,2,-0.03,-0.33108404940296293,1.0485596041466076,1.3356637387503862,1.0125323376035813,-1.100729401090378,1
59,2018,10,3,11,2,0.03,-0.11964225248732889,1.093851082928491,1.3346091221867171,1.0830674523772856,-0.9917143549766382,1
60,2018,10,3,12,2,-0.04,-0.1453986939049058,1.1066072272689582,1.311969052969483,1.116707933398576,-0.8919905006933031,1
